0,Literary Histories
1,Amazon Bestsellers
2,Comics Prizes
3,Media Coverage
4,Academic Databases
5,MLA
6,Online Databases
7,Library Collections
8,MISC
9,JSTOR
10,Adaptations
11,Literary Anthologies
