1,156,26
2,5,192
3,2,2
4,7,9
5,163,86
6,155,139
8,152,65
9,151,141
10,151,142
12,148,47
13,147,130
14,145,144
15,144,145
21,140,149
22,138,57
23,137,26
24,134,34
25,69,150
26,69,151
27,133,152
28,132,145
29,129,86
30,124,85
31,122,110
32,122,111
33,122,112
35,122,155
36,122,154
37,121,120
38,120,124
39,119,126
40,167,137
41,4,156
42,4,157
43,117,158
44,117,159
45,115,72
46,114,96
47,114,160
48,112,47
49,111,25
52,108,50
53,106,80
55,103,103
56,102,76
57,101,70
58,100,127
59,99,82
60,98,104
61,97,104
62,96,69
63,95,80
64,94,164
67,90,113
68,89,86
69,87,116
70,86,37
71,84,107
72,83,107
73,82,56
74,81,99
76,79,166
77,78,167
78,77,168
80,165,169
82,73,42
85,71,125
86,70,173
87,67,41
89,66,123
90,65,53
91,64,14
92,63,14
95,61,45
96,60,117
97,59,55
98,58,30
99,57,177
101,54,79
102,52,122
103,51,49
105,50,22
106,46,74
107,45,178
108,44,46
109,43,63
110,43,179
111,42,89
112,41,180
113,40,13
115,38,124
116,37,36
117,126,75
118,36,181
119,35,182
120,34,13
122,32,90
123,31,43
124,30,97
125,29,121
126,28,62
127,27,47
128,26,42
129,25,113
130,158,43
131,24,40
132,23,73
133,22,73
134,21,183
135,20,184
136,19,13
137,18,185
139,16,22
140,15,185
141,13,16
144,11,13
145,3,187
146,10,188
147,8,10
148,164,1
149,6,189
150,6,190
151,6,191
152,1,1
153,0,0
154,0,193
155,0,194
156,153,88
157,150,1
158,139,122
159,136,1
160,131,95
162,128,98
163,127,33
164,123,119
165,168,138
166,118,107
167,91,95
168,88,87
174,113,22
180,162,73
183,53,112
184,53,186
185,53,110
186,53,50
187,53,201
188,53,184
189,53,202
190,53,203
191,53,204
192,53,205
193,53,206
194,135,207
195,48,29
196,105,46
197,76,264
201,169,30
202,171,210
203,172,211
204,170,209
205,173,43
206,174,212
207,175,80
208,176,80
209,177,213
210,178,41
211,179,86
212,180,1
213,181,214
214,182,41
215,183,215
216,184,217
217,185,215
218,186,46
219,187,219
220,187,86
222,194,222
223,193,223
224,189,224
225,190,225
226,191,226
227,192,227
228,195,25
229,196,229
230,197,230
231,199,232
232,198,231
233,200,233
234,201,234
235,202,235
236,203,41
237,204,236
238,206,214
239,209,237
240,208,160
241,207,238
243,210,41
244,211,41
245,212,45
246,213,45
247,214,45
248,215,125
249,216,125
250,217,239
251,218,253
252,219,241
253,220,242
254,221,243
255,222,244
256,223,282
257,224,246
258,225,248
259,226,249
260,227,250
262,229,252
265,233,256
266,234,257
267,235,258
268,237,260
269,238,265
270,239,262
271,240,263
272,241,267
274,244,272
275,245,395
276,245,
277,245,
278,247,281
281,246,284
283,248,113
284,249,145
285,249,287
286,250,290
287,250,291
288,251,292
289,251,293
290,252,296
291,253,299
292,253,300
293,254,301
294,255,303
295,256,137
296,257,137
297,34,305
298,258,306
299,259,207
300,260,307
301,261,36
302,262,46
303,263,6
304,264,310
305,265,311
306,266,76
307,267,223
308,268,184
312,271,315
314,283,22
315,284,316
326,5,6
327,295,22
328,294,135
329,293,22
330,290,47
331,289,1
333,286,175
336,298,422
337,314,186
338,307,200
339,307,425
340,307,198
341,307,426
342,307,427
343,307,428
344,307,429
345,312,22
346,312,430
347,315,69
348,315,432
349,300,22
351,308,438
353,332,443
354,333,306
355,334,242
356,329,439
357,332,444
358,304,447
359,335,398
360,303,201
361,299,447
362,299,147
363,299,148
364,299,424
365,299,444
366,301,1
367,302,1
368,313,47
