0,7 Miles A Second,1,Autobiography,1996-05-01,7 Miles A Second.jpg,English,0,search.proquest.com,colour,0,0,0,978-1-60699-614-0,7_Miles_A_Second,4.01,382,7 Miles A Second,0,0.5,0.5,,Paderborn
1,A Contract With God,31,,1978-01-01,A Contract with God.png,English,0,rollingstone.com,--> black&white,0,0,0,978-0-393-32804-2,A_Contract_With_God,4.07,9146,A Contract With God,0,,1.0,,Paderborn
2,A Drifting Life,8,,2008-11-20,A Drifting LIfe.jpg,Japanese,0,101 Outstanding Graphic Novels by Stephen Weiner ,--> black&white,0,0,0,978-1-897299-74-6,A_Drifting_Life,4.0,2404,Gekiga Hy\u014dry\u016b,0,1.0,,,Bielefeld
3,A Small Killing,5,,1991-10-03,A Small Killing.JPG,English,0,Amazon.com bestselling graphic novels,colour,0,0,0,1-59291-009-0,A_Small_Killing,3.40000009536743,731,A Small Killing,0,,1.0,,Bielefeld
4,Tale of Sand,0,,2011-12-14,Tale of Sand.jpg,English,0,en.wikipedia.org/wiki/List_of_Harvey_Award_winners#Best_Graphic_Album,colour,0,0,0,978-1-936393-09-1,Tale_of_Sand,3.78,2386,Tale of Sand,1,,1.0,,Bielefeld
5,Absolute Justice,0,,2009-11-17,Absolute Justice.jpg,English,1,Amazon.com bestselling graphic novels,colour,1,0,0,978-1-4012-3526-0,Absolute_Justice,4.17,1228,Absolute Justice,0,,1.0,,Paderborn
6,Age of Ultron\u000d,0,,2013-09-17,Age of Ultron.jpg,English,1,amazon.com,colour,1,0,0,978-0-7851-5566-9,,3.65,507,Age of Ultron,0,,5.0,0.5,Paderborn
7,"Akira, Vol. 1",38,,1990-01-01,Akira. Vol.1.jpg,Japanese,1,101 Outstanding Graphic Novels by Stephen Weiner ,monochrome,0,1,0,978-1-935-42900-5,Akira_Vol_1,4.36,18304,"Akira, Vol. 1",0,,0.5,0.5,Bielefeld
8,American Born Chinese,23,,2006-09-01,American Born Chinese.jpg,English,0,search.proquest.com,colour,0,0,0,978-1-59643-152-2,American_Born_Chinese,3.88,55360,American Born Chinese,0,,1.0,,Bielefeld
10,American Widow,8,,2008-09-02,American Widow.jpg,English,0,search.proquest.com,colour,0,0,0,978-0-345-50069-4,American_Widow,3.31,966,American Widow,0,,1.0,,Bielefeld
11,Asterios Polyp,8,,2009-07-07,Asterios Polyp.jpg,English,0,101 Outstanding Graphic Novels by Stephen Weiner ,colour,0,0,0,978-0-307-37732-6,Asterios_Polyp,4.19,21176,Asterios Polyp,0,0.5,0.5,,Paderborn
13,Barefoot Gen. Vol.1. Cartoon Story of Hiroshima,22,,1986-09-30,Barefoot. Vol. 1. A Cartoon Story of Hiroshima.jpg,Japanese,1,101 Outstanding Graphic Novels by Stephen Weiner ,--> black&white,0,1,0,978-0-86719-602-3,Barefoot_Vol1_Cartoon_Story_of_Hiroshima,4.21,5283,Hadashi no Gen,0,1.0,,,Bielefeld
15,Batman: Dark Victory,1,,2001-11-30,Batman. Dark Victory.jpg,English,1,Amazon.com bestselling graphic novels,colour,1,0,0,978-1-4012-4401-9,Batman_Dark_Victory,4.12,24211,Batman: Dark Victory,0,,1.0,,Bielefeld
16,Batman: The Dark Knight Returns,3,,1986-02-01,Batman. The Dark Knight Returns.jpg,English,1,search.proquest.com,colour,1,0,0,978-1-56389-342-1,Batman_The_Dark_Knight_Returns,4.25,147454,Batman: The Dark Knight Returns,0,,1.0,,Paderborn
18,Batman: The Long Halloween,3,,1997-11-30,Batman. The Long Halloween.jpg,English,1,amazon.com,colour,1,0,0,978-1-4012-3259-7,Batman_The_Long_Halloween,4.3,63584,Batman: The Long Halloween,0,,1.0,,Bielefeld
19,Batman: Year One,8,,1988-01-01,Batman. Year One.jpg,English,1,amazon.com,colour,1,0,0,978-1-4012-0752-6,Batman_Year_One,4.22,170768,Batman: Year One,0,,1.0,,Bielefeld
20,Beasts of Burden: Animal Rites,0,,2006-06-27,Beasts of Burden. Animal Rites.jpg,English,1,101 Outstanding Graphic Novels by Stephen Weiner ,colour,1,1,0,978-1-59582-513-1,Beasts_of_Burden_Animal_Rites,4.15,3512,Beasts of Burden: Animal Rites,0,,1.0,,Bielefeld
21,Beowulf,11,,2007-10-01,Beowulf.jpg,English,0,Eisner Award Winners ,monochrome,0,0,0,978-1-905692-25-5,Beowulf,3.27,48,Beowulf,1,1.0,,,Bielefeld
22,"Berlin, Vol. 2: City of Smoke",0,,2008-09-16,Berlin. City of Smoke. Book Two.jpg,English,1,rollingstone.com,monochrome,1,1,0,978-1-897299-53-1,Berlin_Vol_2_City_of_Smoke,4.08,1853,"Berlin, Vol. 2: City of Smoke",0,1.0,,,Bielefeld
23,"Berlin, Vol.1: City of Stones",2,,2000-02-01,Berlin. City of Stones. Book One.jpg,English,1,search.proquest.com,monochrome,1,1,0,978-1-896597-29-4,Berlin_Vol1_City_of_Stones,3.93,4475,"Berlin, Vol.1: City of Stones",0,1.0,,,Bielefeld
24,Black Hole,15,,2005-01-12,Black Hole.jpg,English,1,JSTOR,--> black&white,1,0,0,0-224-07778-3,Black_Hole,3.83,36456,Black Hole,0,1.0,,,Paderborn
25,"Buddha, Vol. 1: Kapilavastu",3,,2003-01-01,"Buddha, Vol. 1. Kapilavastu.jpg",Japanese,1,101 Outstanding Graphic Novels by Stephen Weiner,monochrome,1,1,0,978-1-93-223-4565,Buddha_Vol_1_Kapilavastu,4.14,6092,"Buddha, Vol. 1: Kapilavastu",0,1.0,,,Bielefeld
26,Building Stories\u000d,27,,2012-10-02,Building Stories.jpg,English,0,JSTOR,colour,0,0,0,978-0375424335,,4.29,5690,Building Stories,0,1.29999995231628,1.29999995231628,1.29999995231628,unbekannt
27,Cages,8,,1998-02-01,Cages.jpg,English,1,search.proquest.com,colour,1,0,0,978-1-59582-316-8,Cages,4.13,2237,Cages,0,,1.0,,Bielefeld
28,Cairo,6,,2007-11-07,Cairo.jpg,English,0,search.proquest.com,monochrome,0,0,0,978-1-4012-1734-1,Cairo,3.78,1951,Cairo,0,,1.0,,Bielefeld
29,Can't We Talk about Something More Pleasant?: A Memoir,0,,2014-05-06,Can\u00b4t We Talk About Something More Pleasant. A Memoir.jpg,English,0,amazon.com,colour,0,0,0,978-1-60819-806-1,Cant_We_Talk_about_Something_More_Pleasant_A_Memoir,4.11,21183,Can't We Talk about Something More Pleasant?: A Memoir,0,,1.0,,Bielefeld
30,Cancer Vixen: A True Story,3,,2006-09-26,Cancer Vixen. A True Story.jpg,English,0,search.proquest.com,colour,0,0,0,978-0-375-71474-0,Cancer_Vixen_A_True_Story,3.73,1266,Cancer Vixen: A True Story,0,,1.0,,Bielefeld
31,Carnet De Voyage ,5,,2004-08-03,Carnet de Voyage (Travel Journal).jpg,English,0,search.proquest.com,--> black&white,0,0,0,978-1-891830-60-0,Carnet_De_Voyage,3.74,4184,Carnet De Voyage ,0,,1.0,,Bielefeld
32,Castle Waiting Vol. 2: The Definitive Edition,2,,2010-12-06,Castle Waiting. Vol. 2. The Definitive Edition.jpg,English,1,101 Outstanding Graphic Novels by Stephen Weiner ,monochrome,0,1,0,978-1-60699-633-1,Castle_Waiting_Vol2_The_Definitive_Edition,4.17,2196,Castle Waiting Vol. 2: The Definitive Edition,0,1.0,,,Bielefeld
34,City of Glass: The Graphic Novel,7,,1994-01-01,City of Glass.jpg,English,0,search.proquest.com,--> black&white,0,0,0,978-0-571-22633-7,City of Glass,3.92,4856,City of Glass: The Graphic Novel,1,,1.0,,
35,City of Clowns,0,,2015-11-03,City of Clowns.jpg,Spanish,0,search.proquest.com,--> black&white,0,0,0,978-1-59463-333-1,,3.64,417,Ciudad de payasos,0,,1.0,,Paderborn
36,Civil War,37,,2008-11-26,Civil War.jpg,English,1,amazon.com,colour,1,0,0,978-0-7851-2179-4,Civil_War,4.05,28329,Civil War,0,,1.0,,Paderborn
37,Complete Multiple Warheads TP,0,,2014-01-08,Complete Multiple Warheads TP.jpg,English,1,rollingstone.com,colour,1,0,0,978-1-60706-840-2,,3.86,322,Complete Multiple Warheads TP,0,,0.5,0.5,Paderborn
38,Corridor: A Graphic Novel,4,,2004-03-04,Corridor. A Graphic Novel.jpg,English,0,search.proquest.com,--> black&white,0,0,0,978-0-143-03138-3,,3.3,442,Corridor: A Graphic Novel,0,,1.0,,Bielefeld
40,Daredevil: Born Again,1,,2001-11-26,Daredevil. Born Again.jpg,English,1,101 Outstanding Graphic Novels by Stephen Weiner ,colour,1,0,0,978-0-7851-3481-7,Daredevil_Born_Again,4.32,9135,Daredevil: Born Again,0,,1.0,,Paderborn
41,Daredevil: The Man Without Fear,2,,1994-11-24,Daredevil. The Man Without Fear.jpg,English,1,amazon.com,colour,1,0,0,978-0-7851-3479-4,Daredevil_The_Man_Without_Fear,4.19,5045,Daredevil: The Man Without Fear,0,,1.0,,Bielefeld
42,Darkroom: A Memoir in Black and White,0,,2012-02-16,Darkroom. A Memoir in Black and White.jpg,English,0,search.proquest.com,monochrome,0,0,0,978-0-8173-5714-6,Darkroom_A_Memoir_in_Black_and_White,4.03,410,Darkroom: A Memoir in Black and White,0,1.0,,,Bielefeld
43,Daytripper,2,,2011-02-08,Daytripper.jpg,English,1,search.proquest.com,colour,1,0,0,978-1-4012-2969-6,Daytripper,4.31,20498,Daytripper,0,0.5,0.5,,
44,DC: The New Frontier ,3,,2004-12-01,DC. The New Frontier.jpg,English,1,101 Outstanding Graphic Novels by Stephen Weiner ,colour,1,0,0,978-1-4012-4888-8,DC_The_New_Frontier,4.41,4307,DC: The New Frontier ,0,1.0,,,Bielefeld
45,Deadpool Kills the Marvel Universe,0,,2012-11-14,Deadpool Kills the Marvel Universe.jpg,English,1,amazon.com,colour,1,0,0,978-0-7851-6403-6,Deadpool_Kills_the_Marvel_Universe,3.86,8598,Deadpool Kills the Marvel Universe,0,,1.0,,Bielefeld
46,D\u00e9ogratias: A Tale of Rwanda,2,,2000-10-01,Deogratias. A Tale of Rwanda.png,French,0,search.proquest.com,colour,0,0,0,978-1-59643-103-4,Deogratias_A_Tale_of_Rwanda,3.54,976,D\u00e9ogratias ,0,,1.0,,Bielefeld
48,Portrait of A Dubliner,0,,2013-01-01,Portrait of a Dubliner.jpg,Spanish,0,search.proquest.com,monochrome,0,0,0,978-1-62872-665-8,Portrait_of_A_Dubliner,3.80999994277954,441,Dublin\u00e9s,0,1.0,,,Bielefeld
50,Elektra Lives Again,1,,1990-03-01,Elektra Lives Again.jpg,English,0,search.proquest.com,colour,0,0,0,0-7851-0279-5,Elektra_Lives_Again,3.77,920,Elektra Lives Again,0,,1.0,,Bielefeld
51,Epileptic ,15,,2002-01-01,Epileptic.jpg,French,1,search.proquest.com,--> black&white,1,0,0,978-0-375-71468-9,Epileptic_LAscension_du_haut_mal,3.89,11612,L'Ascension du haut mal,0,1.0,,,
52,Exit Wounds,5,,2007-05-01,Exit Wounds.jpg,English,0,search.proquest.com,colour,0,0,0,978-1-897299-8,Exit_Wounds,3.5699999332428,4,Exit Wounds,0,,1.0,,Bielefeld
53,Fables: 1001 Nights of Snowfall,24,,2006-10-18,Fables. 1001 Nights of Snowfall.jpg,English,0,search.proquest.com,colour,0,0,0,978-1-401-203696,Fables_1001_Nights_of_Snowfall,4.15,12685,Fables: 1001 Nights of Snowfall,0,1.0,,,Bielefeld
54,Fax from Sarajevo,3,,1996-11-01,Fax from Sarajevo.png,English,0,en.wikipedia.org/wiki/List_of_Harvey_Award_winners#Best_Graphic_Album,colour,0,0,0,1-56971-346-4,Fax_from_Sarajevo,3.85,564,Fax from Sarajevo,0,,1.0,,Bielefeld
57,From Hell,85,,1999-09-01,From Hell.jpg,English,1,search.proquest.com,monochrome,1,0,0,978-0-9585783-4-9,From_Hell,4.16,28044,From Hell,0,1.0,,,Paderborn
58,Fun Home,68,,2006-06-08,Fun Home.jpg,English,0,search.proquest.com,monochrome,0,0,0,978-0-618-87171-1,Fun_Home,4.1,94747,Fun Home,0,1.0,,,
59,Gaylord Phoenix,1,,2007-11-01,Gaylord Phoenix.jpg,English,1,search.proquest.com ,--> black&white,1,0,0,978-0-9799609-8-7,Gaylord_Phoenix,4.11,82,Gaylord Phoenix,0,,1.0,,Paderborn
